year,month_nr,month,army,d_zymotic,d_wounds,d_other,dpml_zymotic,dpml_wounds,dpml_other
1854,1,April,8571,1,,5,1.4,0.0,7.0
1854,2,May,23333,12,,9,6.2,0.0,4.6
1854,3,June,28333,11,,6,4.7,0.0,2.5
1854,4,July,28722,359,,23,150.0,0.0,9.6
1854,5,August,30246,828,1,30,328.5,0.4,11.9
1854,6,September,30290,788,81,70,312.2,32.1,27.7
1854,7,October,30643,503,132,128,197.0,51.7,50.1
1854,8,November,29736,844,287,106,340.6,115.8,42.8
1854,9,December,32779,1725,114,131,631.5,41.7,48.0
1855,10,January,32393,2761,83,324,1022.8,30.7,120.0
1855,11,February,30919,2120,42,361,822.8,16.3,140.1
1855,12,March,30107,1205,32,172,480.3,12.8,68.6
1855,1,April,32252,477,28,57,177.5,10.4,21.2
1855,2,May,35473,508,49,37,171.8,16.6,12.5
1855,3,June,38863,802,209,31,247.6,64.5,9.6
1855,4,July,42647,382,134,33,107.5,37.7,9.3
1855,5,August,44614,483,164,25,129.9,44.1,6.7
1855,6,September,47751,189,276,20,47.5,69.4,5.0
1855,7,October,46852,128,53,18,32.8,13.6,4.6
1855,8,November,37853,178,33,32,56.4,10.5,10.1
1855,9,December,43217,91,18,28,25.3,5.0,7.8
1856,10,January,44212,42,2,48,11.4,0.5,13.0
1856,11,February,43485,24,,19,6.6,0.0,5.2
1856,12,March,46140,15,,35,3.9,0.0,9.1
